"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes"
"648",661,"Guinevere","R","Comedy",104,"Fresh",86,35,619511,1999,4.7,289
"649",662,"Mansfield Park","PG-13","Comedy",110,"Certified-Fresh",77,70,4775847,1999,7,24186
"650",663,"Miss Julie","R","Drama",103,"Rotten",39,23,43941,1999,6.9,83
"651",664,"Superstar","PG-13","Comedy",82,"Rotten",32,74,30636478,1999,6.8,15
"652",665,"House on Haunted Hill","R","Horror",96,"Rotten",30,61,40846082,1999,6.8,27503
"653",666,"Tumbleweeds","PG-13","Comedy",104,"Certified-Fresh",82,68,1350248,1999,6.5,626
"654",667,"The Bachelor","PG-13","Comedy",101,"Rotten",9,70,21760240,1999,5,18497
"655",668,"Last Night","R","Comedy",96,"Certified-Fresh",84,50,98986,2011,7.1,9805
"656",669,"A Dog of Flanders","PG","Drama",100,"Rotten",21,24,2165637,1999,6.3,139
"657",670,"Eye of the Beholder","R","Drama",107,"Rotten",9,87,16500786,2000,5,15490
"658",671,"Excellent Cadavers","R","Drama",106,"Fresh",63,8,22300,2006,6.5,1229
"659",672,"Boiler Room","R","Drama",120,"Fresh",66,101,16970581,2000,4.7,77
"660",673,"What Planet Are You From?","R","Comedy",104,"Rotten",42,77,6291602,2000,5.6,9548
"661",674,"Whatever It Takes","PG-13","Comedy",94,"Rotten",16,67,8745680,2000,6.5,17
"662",675,"High Fidelity","R","Comedy",113,"Certified-Fresh",91,165,27287137,2000,8,58
"663",676,"Coming Soon","R","Comedy",95,"Rotten",29,7,5453,2000,4.4,1749
"664",677,"Committed","R","Comedy",98,"Rotten",43,46,40361,2000,5,226
"665",678,"Dinosaur","PG","Action",82,"Fresh",64,123,137748063,2000,6.4,61112
"666",679,"Screwed","PG-13","Comedy",81,"Rotten",13,30,7027345,2000,6,191
"667",680,"Road Trip","R","Comedy",94,"Rotten",58,92,68540777,2000,6.5,169748
