"","Title","LifetimeGross","contentR","Year","Runtime","imdbR","rottentmtR","imdbC","rottentmtC"
"5090","Never Die Alone",5645298,"R",2004,"88",5.6,26,5863,92
"5091","Never Let Me Go",2434652,"R",2010,"94",6.2,70,830,181
"5092","Never Say Never Again",55432841,"PG",1983,"134",6.1,67,68416,52
"5093","Never Talk to Strangers",6858261,"R",1995,"86",5.2,15,6888,20
"5094","New Best Friend",46375,"R",2002,"91",5.2,5,3348,38
"5095","New Jack City",47624353,"R",1991,"97",6.6,77,35608,30
"5096","New Jersey Drive",3565508,"R",1995,"98",6.6,64,3271,11
"5097","A New Life",7721852,"PG-13",1988,"104",5.8,29,578,7
"5098","The New Twenty",17625,"NR",2009,"92",5.1,50,503,14
"5099","New Year's Eve",54544638,"PG-13",2011,"70",5.8,7,11,141
"5100","New York Doll",219672,"PG-13",2005,"75",7.7,90,1764,51
"5101","New York, I Love You",1588015,"R",2009,"103",6.2,37,46501,99
"5102","New York Minute",14071441,"PG",2004,"91",4.9,11,23691,119
"5103","New York Stories",10763469,"PG",1989,"124",6.4,75,18530,24
"5104","Newlyweds",4584,"R",2012,"95",6.3,73,1627,11
"5105","Newsies",2819485,"PG",1992,"121",6.9,39,21034,38
"5106","The Newton Boys",10452012,"PG-13",1998,"122",6.1,63,11651,38
"5107","Newtown",14109,"NR",2016,"70",8.3,94,9,35
"5108","Next",18211013,"PG-13",2007,"96",6.2,28,159078,130
"5109","The Next Best Thing",14990582,"PG-13",2000,"108",4.6,19,11354,93
"5110","Next Day Air",10027047,"R",2009,"84",5.7,21,10699,66
"5111","Next Friday",57328603,"R",2000,"98",6.1,22,41037,65
"5112","Next Goal Wins",43089,"NR",2014,"97",7.8,100,2652,30
"5113","The Next Karate Kid",8914777,"PG",1994,"107",4.5,7,31077,27
"5114","The Next Three Days",21148651,"PG-13",2010,"133",7.3,50,197216,167
"5115","Nick and Norah's Infinite Playlist",31487293,"PG-13",2008,"90",6.6,75,92745,185
"5116","Nick of Time",8175346,"R",1995,"90",6.3,32,42968,31
"5117","Nicotina",1117864,"R",2004,"93",6.6,45,3712,47
"5118","Night at the Golden Eagle",17643,"R",2002,"87",5.8,41,2598,17
"5119","Night at the Museum",250863268,"PG",2006,"108",6.4,43,346416,138
"5120","Night at the Museum: Secret of the Tomb",113746621,"PG",2014,"98",6.2,47,122448,112
"5121","A Night at the Roxbury",30331165,"PG-13",1998,"82",6.2,11,61122,55
"5122","Night Catches Us",76185,"R",2010,"90",6.2,81,1722,57
"5123","Night Crossing",8000000,"PG",1982,"107",6.5,80,1462,5
"5124","Night Falls on Manhattan",9889670,"R",1997,"113",6.6,69,7882,29
